player,nation,position,squad,competition,age,born,90s,shotcreatingactions,shotcreatingaction_per90,sca_livepasses,sca_deadballs,sca_takeons,sca_shots,sca_foulsdrawn,sca_defaction,goalcreatingactions,gca_per90,gca_passlive,gca_deadball,gca_takeons,gca_shots,gca_foulsdrawn,gca_defaction
Matúš Bero,SVK,MF,Bochum,Bundesliga,28,1995,28.5,120,4.21,64,41,4,6,3,2,7,0.25,2,2,2,1,0,0
Juan Berrocal,ESP,DF,Getafe,La Liga,25,1999,11.8,6,0.51,4,1,0,0,0,1,1,0.08,1,0,0,0,0,0
Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26,1998,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-Niklas Beste,GER,"FW,MF",Freiburg,Bundesliga,25,1999,2.4,5,2.11,2,2,0,1,0,0,1,0.42,1,0,0,0,0,0
Beto,GNB,FW,Everton,Premier League,26,1998,17,26,1.52,16,0,3,3,4,0,1,0.06,1,0,0,0,0,0
Sam Beukema,NED,DF,Bologna,Serie A,25,1998,33.5,36,1.08,31,2,0,3,0,0,6,0.18,4,0,0,2,0,0
Alessandro Bianco,ITA,MF,Monza,Serie A,21,2002,28.9,38,1.32,33,1,0,4,0,0,0,0,0,0,0,0,0,0
Alessandro Bianco,ITA,MF,Fiorentina,Serie A,21,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mika Biereth,DEN,FW,Monaco,Ligue 1,21,2003,13.6,38,2.78,32,0,0,3,2,1,4,0.29,3,0,0,0,1,0
Jaka Bijol,SVN,DF,Udinese,Serie A,25,1999,32.9,30,0.91,26,1,0,3,0,0,1,0.03,0,0,0,1,0,0
El Bilal Touré,MLI,"FW,MF",Stuttgart,Bundesliga,22,2001,4,11,2.78,8,0,1,2,0,0,1,0.25,1,0,0,0,0,0
Philip Billing,DEN,MF,Bournemouth,Premier League,28,1996,2,16,7.83,13,0,0,1,0,2,0,0,0,0,0,0,0,0
Philip Billing,DEN,MF,Napoli,Serie A,28,1996,2.2,8,3.65,4,0,0,2,1,1,1,0.46,0,0,0,1,0,0
Cristiano Biraghi,ITA,DF,Torino,Serie A,31,1992,12.9,41,3.19,23,14,0,2,1,1,0,0,0,0,0,0,0,0
Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,31,1992,4.8,8,1.66,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Samuele Birindelli,ITA,"DF,MF",Monza,Serie A,25,1999,16.3,35,2.15,30,2,0,2,1,0,2,0.12,1,0,0,1,0,0
Tom Bischof,GER,"MF,FW",Hoffenheim,Bundesliga,19,2005,28.4,117,4.12,67,32,4,8,4,2,7,0.25,6,1,0,0,0,0
Yves Bissouma,MLI,MF,Tottenham,Premier League,27,1996,15.6,16,1.02,15,0,0,0,0,1,0,0,0,0,0,0,0,0
Leonardo Bittencourt,GER,MF,Werder Bremen,Bundesliga,30,1993,10.9,39,3.57,28,2,0,4,4,1,5,0.46,5,0,0,0,0,0
Emmanuel Biumla,FRA,DF,Angers,Ligue 1,19,2005,14.8,4,0.27,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Bizot,NED,GK,Brest,Ligue 1,33,1991,32,2,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bjarki Bjarkason,ISL,"DF,MF",Venezia,Serie A,24,2000,1.8,1,0.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Blanco,ESP,MF,Alavés,La Liga,24,2000,30.3,45,1.49,38,3,0,1,1,2,1,0.03,1,0,0,0,0,0
Ludovic Blas,FRA,"MF,FW",Rennes,Ligue 1,26,1997,25.5,107,4.2,60,24,6,7,4,6,16,0.63,7,4,1,1,2,1
Daley Blind,NED,DF,Girona,La Liga,34,1990,30.9,47,1.52,43,2,0,0,0,2,7,0.23,6,0,0,0,0,1
Myron Boadu,NED,FW,Bochum,Bundesliga,23,2001,11.6,30,2.59,22,0,4,1,3,0,3,0.26,1,0,2,0,0,0
Augustine Boakye,GHA,"FW,MF",Saint-Étienne,Ligue 1,23,2000,8.1,35,4.3,24,1,5,3,2,0,1,0.12,0,0,0,1,0,0
Oscar Bobb,NOR,FW,Manchester City,Premier League,21,2003,0.2,2,11.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0
