player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Marc-Oliver Kempf,GER,DF,Como,Serie A,29,1995,29.1,6,1,1,21,20,0,4,33,20,0,0,0,106,108,39,73.5
Kenedy,BRA,"MF,FW",Valladolid,La Liga,28,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Luca Kerber,GER,"MF,DF",Heidenheim,Bundesliga,22,2002,8.7,4,0,0,22,8,0,3,5,16,0,0,0,27,11,17,39.3
Milos Kerkez,HUN,DF,Bournemouth,Premier League,20,2003,37.1,4,0,0,30,50,3,142,45,26,0,0,0,169,28,49,36.4
Reda Khadra,GER,"MF,FW",Reims,Ligue 1,23,2001,0.9,0,0,0,0,3,0,3,0,1,0,0,0,7,0,0,
Bilal El Khannouss,MAR,"MF,FW",Leicester City,Premier League,20,2004,24.2,4,0,0,30,13,1,89,6,30,0,0,0,92,19,24,44.2
Wahbi Khazri,TUN,"FW,MF",Montpellier,Ligue 1,33,1991,12.4,4,0,0,23,28,7,48,5,18,0,0,0,44,8,21,27.6
Rani Khedira,GER,MF,Union Berlin,Bundesliga,30,1994,30.3,7,0,0,45,18,1,22,44,40,0,1,0,108,42,42,50
Abdukodir Khusanov,UZB,DF,Manchester City,Premier League,20,2004,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60
Abdukodir Khusanov,UZB,DF,Lens,Ligue 1,20,2004,10.8,2,1,0,13,3,0,5,26,11,0,1,0,50,27,12,69.2
Kialonda,ANG,DF,Lecce,Serie A,26,1997,23.8,3,0,0,9,20,0,3,32,12,0,1,0,58,90,44,67.2
Kiké,ESP,FW,Alavés,La Liga,34,1989,28.2,5,1,1,49,59,22,13,1,14,1,0,0,90,110,100,52.4
Max Kilman,ENG,DF,West Ham,Premier League,27,1997,37.2,5,0,0,23,13,2,4,38,24,0,0,0,146,113,55,67.3
Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,29,1995,31.6,4,0,0,15,27,2,176,25,29,0,0,0,190,12,9,57.1
Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,28,1995,0.3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Joshua King,ENG,MF,Fulham,Premier League,17,2007,1.4,0,0,0,3,2,0,2,1,5,0,0,0,5,1,2,33.3
Joshua King,NOR,"FW,MF",Toulouse,Ligue 1,32,1992,18.6,2,0,0,35,27,7,9,6,11,1,0,0,60,35,51,40.7
Tom King,WAL,GK,Wolves,Premier League,29,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antonín Kinský,CZE,GK,Tottenham,Premier League,21,2003,6,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100
Cédric Kipré,CIV,DF,Reims,Ligue 1,27,1996,24.3,4,2,0,24,12,1,12,32,30,0,1,0,73,41,24,63.1
Jakub Kiwior,POL,DF,Arsenal,Premier League,24,2000,12.5,1,0,0,10,4,1,2,6,8,0,0,0,31,11,13,45.8
Tim Kleindienst,GER,FW,Gladbach,Bundesliga,28,1995,30.4,5,1,1,75,25,23,16,12,15,2,1,0,74,149,123,54.8
Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,28,1996,20.4,5,0,0,13,7,0,11,24,14,0,0,0,74,20,30,40
Justin Kluivert,NED,MF,Bournemouth,Premier League,25,1999,26,8,0,0,47,33,5,85,14,11,1,0,0,78,8,28,22.2
Ansgar Knauff,GER,"MF,DF",Eint Frankfurt,Bundesliga,22,2002,17.7,3,0,0,27,28,11,32,12,22,0,0,0,76,19,27,41.3
Magnus Knudsen,NOR,MF,Holstein Kiel,Bundesliga,23,2001,20.6,7,0,0,28,10,0,8,12,29,0,0,0,79,10,28,26.3
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,26,1997,32,1,0,0,0,2,0,0,1,0,0,0,0,61,5,0,100
Robin Koch,GER,DF,Eint Frankfurt,Bundesliga,28,1996,28.7,3,0,0,24,13,1,1,25,11,0,1,0,112,102,48,68
Hervé Koffi,BFA,GK,Lens,Ligue 1,27,1996,5,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100
Magnus Kofod Andersen,DEN,MF,Venezia,Serie A,25,1999,7.7,1,0,0,7,5,0,16,6,4,0,0,0,31,8,7,53.3
Derrick Köhn,GER,"DF,FW",Werder Bremen,Bundesliga,25,1999,14.9,2,0,0,14,19,4,58,10,10,0,0,0,57,8,13,38.1
Philipp Köhn,SUI,GK,Monaco,Ligue 1,26,1998,19,1,0,0,0,1,0,0,0,0,0,0,0,37,3,0,100
Dominik Kohr,GER,"DF,MF",Mainz 05,Bundesliga,30,1994,25.5,11,1,0,46,36,1,16,42,46,0,2,0,99,38,34,52.8
Koka,EGY,FW,Le Havre,Ligue 1,31,1993,9.5,2,0,0,14,2,1,0,4,1,0,0,0,24,20,21,48.8
Koke,ESP,MF,Atlético Madrid,La Liga,32,1992,21.4,4,0,0,23,16,0,22,20,23,0,0,1,122,8,9,47.1
Sead Kolašinac,BIH,DF,Atalanta,Serie A,31,1993,21.1,7,0,0,38,20,3,10,25,26,0,0,1,135,34,26,56.7
Randal Kolo Muani,FRA,FW,Juventus,Serie A,25,1998,12.9,0,0,0,27,20,6,8,4,7,0,0,0,33,10,27,27
Randal Kolo Muani,FRA,FW,Paris S-G,Ligue 1,25,1998,4,0,0,0,7,7,2,0,0,4,1,0,0,8,9,3,75
Marco Komenda,CRO,DF,Holstein Kiel,Bundesliga,27,1996,14.5,3,0,0,16,13,0,16,6,17,0,0,0,37,15,31,32.6
Mert Kömür,GER,MF,Augsburg,Bundesliga,19,2005,7.3,1,0,0,7,12,3,26,3,2,0,0,0,32,11,18,37.9
Ibrahima Konaté,FRA,DF,Liverpool,Premier League,25,1999,28.4,5,0,0,27,20,0,0,17,26,0,0,0,98,74,29,71.8
Ismael Konate,CIV,"FW,MF",Empoli,Serie A,18,2006,1.3,0,0,0,5,2,0,1,0,2,0,0,0,3,5,8,38.5
Geoffrey Kondogbia,CTA,"DF,MF",Marseille,Ligue 1,31,1993,22.4,1,0,0,19,17,1,4,22,38,0,0,0,108,27,15,64.3
Abdoul Koné,FRA,DF,Reims,Ligue 1,19,2005,1.5,0,0,0,3,3,0,0,1,3,0,0,0,7,2,0,100
Amadou Koné,MLI,MF,Reims,Ligue 1,19,2005,14.4,3,1,0,19,52,0,3,19,32,0,1,0,79,22,22,50
Ismaël Koné,CAN,"MF,FW",Marseille,Ligue 1,22,2002,4,0,0,0,4,11,1,3,4,4,0,0,0,14,2,5,28.6
Ismaël Koné,CAN,MF,Rennes,Ligue 1,22,2002,5.2,1,0,0,8,8,0,2,4,6,0,1,0,19,2,0,100
Manu Koné,FRA,MF,Roma,Serie A,23,2001,28.6,6,0,0,28,86,2,2,24,26,0,1,0,131,20,33,37.7
Ezri Konsa,ENG,DF,Aston Villa,Premier League,26,1997,32.6,1,0,0,9,47,1,5,24,18,0,0,0,97,31,23,57.4
Teun Koopmeiners,NED,"MF,FW",Juventus,Serie A,26,1998,22.2,3,0,0,32,9,3,113,8,16,0,0,0,51,22,22,50
Kacper Koscierski,GER,DF,Bochum,Bundesliga,17,2007,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odilon Kossounou,CIV,DF,Atalanta,Serie A,23,2001,12.5,1,0,0,15,6,1,3,13,11,0,0,0,62,23,17,57.5
Christian Kouamé,CIV,"FW,MF",Fiorentina,Serie A,26,1997,6.9,1,0,0,13,14,2,6,2,8,0,0,0,20,29,19,60.4
Christian Kouamé,CIV,"FW,MF",Empoli,Serie A,26,1997,5.6,0,0,0,7,15,2,2,0,4,0,0,0,18,48,24,66.7
Henri Koudossou,GER,DF,Augsburg,Bundesliga,24,1999,8.3,1,0,0,7,5,2,24,15,10,0,0,0,39,8,7,53.3
Konstantinos Koulierakis,GRE,DF,Wolfsburg,Bundesliga,20,2003,27.4,4,0,0,24,13,2,13,33,20,0,0,0,93,59,39,60.2
Emmanuel Koum Mbondo,FRA,DF,Marseille,Ligue 1,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jules Koundé,FRA,DF,Barcelona,La Liga,25,1998,28.9,4,0,0,22,19,7,63,20,43,0,0,0,107,30,23,56.6
Boubakar Kouyaté,MLI,DF,Montpellier,Ligue 1,27,1997,8.4,6,1,1,15,8,4,0,12,17,0,0,0,18,22,15,59.5
Mateo Kovačić,CRO,MF,Manchester City,Premier League,30,1994,24.4,5,1,0,24,26,0,0,24,38,0,0,0,114,10,9,52.6
Viktor Kovalenko,UKR,MF,Empoli,Serie A,28,1996,0.9,0,0,0,2,2,0,1,0,1,0,0,0,3,3,3,50
Matej Kovar,CZE,GK,Leverkusen,Bundesliga,24,2000,5,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,50
Mateusz Kowalski,POL,MF,Parma,Serie A,19,2005,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
Goduine Koyalipou,CTA,FW,Lens,Ligue 1,24,2000,9.8,0,0,0,7,6,6,2,1,2,0,0,0,15,16,24,40
Caleb Kporha,ENG,DF,Crystal Palace,Premier League,18,2006,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,29,1994,3.8,2,0,0,5,2,0,2,2,2,0,0,0,19,8,8,50
Alex Král,CZE,MF,Espanyol,La Liga,26,1998,30.2,1,0,0,31,23,0,38,28,37,0,0,0,127,38,28,57.6
Andrej Kramarić,CRO,"MF,FW",Hoffenheim,Bundesliga,33,1991,30.7,4,0,0,12,28,9,116,7,8,0,0,0,136,8,23,25.8
Frans Krätzig,GER,"DF,MF",Heidenheim,Bundesliga,21,2003,13.5,1,0,0,7,4,4,38,17,18,0,1,0,60,3,4,42.9
Frans Krätzig,GER,DF,Stuttgart,Bundesliga,21,2003,0.6,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,100
Tom Krauß,GER,MF,Bochum,Bundesliga,23,2001,12,2,0,0,14,16,0,10,11,18,0,0,0,78,9,8,52.9
Ladislav Krejčí,CZE,DF,Girona,La Liga,25,1999,27.1,9,0,0,24,17,0,11,34,16,1,0,1,101,55,24,69.6
Rasmus Kristensen,DEN,DF,Eint Frankfurt,Bundesliga,27,1997,27.9,4,0,0,24,12,0,59,20,33,0,0,0,121,44,30,59.5
Thomas Kristensen,DEN,DF,Udinese,Serie A,22,2002,19.5,5,0,0,31,3,1,10,21,21,0,1,0,63,61,32,65.6
Nikola Krstović,MNE,FW,Lecce,Serie A,24,2000,34,6,0,0,57,55,20,8,7,9,0,0,0,72,91,128,41.6
Lukas Kübler,GER,DF,Freiburg,Bundesliga,31,1992,20.5,5,0,0,25,23,1,30,53,21,0,0,0,73,42,22,65.6
Takefusa Kubo,JPN,"MF,FW",Real Sociedad,La Liga,23,2001,26.4,5,0,0,21,73,8,85,17,20,1,0,0,118,11,19,36.7
Mohammed Kudus,GHA,"FW,MF",West Ham,Premier League,23,2000,28.8,2,1,0,39,64,18,81,4,23,0,0,0,138,11,40,21.6
Dejan Kulusevski,SWE,"MF,FW",Tottenham,Premier League,24,2000,26.5,3,0,0,48,38,5,89,13,23,0,0,0,121,10,15,40
Sael Kumbedi,FRA,DF,Lyon,Ligue 1,19,2005,10.6,2,0,0,17,10,0,14,8,14,0,0,0,32,3,7,30
Marash Kumbulla,ALB,DF,Espanyol,La Liga,24,2000,33,9,0,0,37,29,0,6,34,26,0,0,1,74,71,44,61.7
Jonah Kusi-Asare,SWE,FW,Bayern Munich,Bundesliga,17,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
Daler Kuzyaev,RUS,MF,Le Havre,Ligue 1,31,1993,6.3,1,0,0,8,3,0,6,9,8,0,0,0,27,7,4,63.6
Khvicha Kvaratskhelia,GEO,"FW,MF",Napoli,Serie A,23,2001,13.1,1,0,0,12,33,0,51,4,9,0,0,0,45,4,5,44.4
Khvicha Kvaratskhelia,GEO,FW,Paris S-G,Ligue 1,23,2001,10.2,0,0,0,12,18,0,33,2,13,0,0,0,27,3,5,37.5
Moritz-Broni Kwarteng,GHA,"MF,FW",Bochum,Bundesliga,26,1998,1.9,1,0,0,3,1,0,1,0,3,0,0,0,8,0,1,0
Giorgos Kyriakopoulos,GRE,DF,Monza,Serie A,28,1996,31.6,5,0,0,24,37,6,170,23,26,0,1,1,94,26,33,44.1
Luca de la Torre,USA,MF,Celta Vigo,La Liga,26,1998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Rémy Labeau Lascary,GLP,"FW,MF",Lens,Ligue 1,21,2003,7.1,5,0,0,23,9,10,19,1,10,0,0,0,21,6,7,46.2
Gaëtan Laborde,FRA,FW,Nice,Ligue 1,30,1994,20.3,1,0,0,29,18,8,27,6,13,1,0,0,49,48,47,50.5
Nediljko Labrović,CRO,GK,Augsburg,Bundesliga,24,1999,15,0,0,0,0,2,0,0,0,0,0,0,0,14,6,1,85.7
Alexandre Lacazette,FRA,FW,Lyon,Ligue 1,33,1991,22.8,5,0,0,48,33,20,17,8,6,0,1,0,28,16,32,33.3
Younes Lachaab,FRA,"MF,FW",Lille,Ligue 1,19,2005,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
Maxence Lacroix,FRA,DF,Crystal Palace,Premier League,24,2000,34.6,5,0,0,34,19,1,7,54,41,0,1,0,130,60,50,54.5
Alban Lafont,FRA,GK,Nantes,Ligue 1,25,1999,12,1,0,0,0,0,0,0,0,1,0,0,0,11,5,0,100
Yoel Lago,ESP,DF,Celta Vigo,La Liga,20,2004,6.5,2,0,0,16,9,0,0,4,8,0,1,0,22,3,6,33.3
Konrad Laimer,AUT,DF,Bayern Munich,Bundesliga,27,1997,18.9,8,0,0,35,12,1,21,8,27,0,0,0,81,15,13,53.6
Stefan Lainer,AUT,DF,Gladbach,Bundesliga,31,1992,8.4,2,0,0,11,6,3,29,12,13,0,0,1,24,5,9,35.7
Kenny Lala,MAD,DF,Brest,Ligue 1,32,1991,29.8,5,0,0,18,14,1,126,25,42,0,1,0,154,8,13,38.1
Adam Lallana,ENG,MF,Southampton,Premier League,36,1988,4,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50
Mathis Lambourde,FRA,"FW,MF",Hellas Verona,Serie A,18,2006,1,1,0,0,4,1,0,1,0,1,0,0,0,3,2,4,33.3
Mohamed Lamine Bayo,GUI,FW,Lille,Ligue 1,26,1998,3.4,1,0,0,6,2,0,0,0,1,0,0,0,5,4,4,50
Tariq Lamptey,GHA,DF,Brighton,Premier League,23,2000,9.6,0,0,0,15,10,0,28,7,11,0,1,0,39,1,14,6.7
Will Lankshear,ENG,"FW,MF",Tottenham,Premier League,19,2005,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Gianluca Lapadula,PER,"FW,MF",Cagliari,Serie A,34,1990,3.4,1,0,0,9,1,1,3,0,0,0,0,0,5,11,8,57.9
Cyle Larin,CAN,FW,Mallorca,La Liga,29,1995,19.6,4,0,0,32,31,24,6,1,6,1,0,0,46,66,86,43.4
Gautier Larsonneur,FRA,GK,Saint-Étienne,Ligue 1,27,1997,34,5,0,0,0,13,0,0,0,0,0,0,0,41,7,4,63.6
Hugo Larsson,SWE,MF,Eint Frankfurt,Bundesliga,20,2004,26.6,2,0,0,21,5,2,8,30,27,0,1,0,121,13,14,48.1
Juanmi Latasa,ESP,FW,Valladolid,La Liga,23,2001,15.5,6,1,0,40,36,7,5,0,2,0,1,0,24,90,58,60.8
Toni Lato,ESP,DF,Mallorca,La Liga,26,1997,6.9,1,1,0,12,3,2,23,6,11,0,0,0,30,6,7,46.2
Roméo Lavia,BEL,MF,Chelsea,Premier League,20,2004,8.9,4,0,0,16,7,0,0,16,13,0,1,0,40,12,6,66.7
Valentino Lazaro,AUT,"DF,FW",Torino,Serie A,28,1996,25.6,6,0,0,30,13,2,145,11,12,0,1,0,94,16,25,39
Darko Lazović,SRB,"DF,MF",Hellas Verona,Serie A,33,1990,16.2,0,0,0,9,5,4,70,11,10,1,0,0,59,9,13,40.9
