player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Rico Lewis,ENG,"DF,MF",Manchester City,Premier League,19,2004,21,5,1,1,12,34,0,6,13,19,0,0,0,95,6,14,30
Keane Lewis-Potter,ENG,"DF,FW",Brentford,Premier League,23,2001,34.4,7,0,0,18,31,4,78,21,27,1,0,0,146,27,35,43.5
Myles Lewis-Skelly,ENG,DF,Arsenal,Premier League,17,2006,15.2,3,2,0,11,47,0,10,7,14,0,1,0,53,11,10,52.4
Ben Lhassine Kone,CIV,MF,Como,Serie A,24,2000,0.6,1,0,0,1,1,0,0,1,2,0,0,0,7,0,1,0
Mattia Liberali,ITA,MF,Milan,Serie A,17,2007,0.7,0,0,0,1,0,0,2,0,1,0,0,0,4,1,0,100
Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,28,1996,30.8,5,0,0,22,19,3,9,36,13,0,0,0,113,57,36,61.3
Matthijs de Ligt,NED,DF,Manchester Utd,Premier League,24,1999,23.6,3,0,0,16,12,2,6,33,22,0,2,0,68,58,29,66.7
Pedro Lima,BRA,DF,Wolves,Premier League,18,2006,0.8,0,0,0,1,1,1,5,2,0,0,0,0,3,0,3,0
Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,30,1994,7.8,1,0,0,8,1,0,1,8,2,0,0,0,29,17,15,53.1
Jesper Lindstrøm,DEN,FW,Everton,Premier League,24,2000,13.8,2,0,0,15,10,1,71,12,25,0,0,0,70,6,12,33.3
Karol Linetty,POL,MF,Torino,Serie A,29,1995,17.1,6,0,0,39,13,0,4,12,23,0,0,0,63,8,14,36.4
Samuel Lino,BRA,"MF,DF",Atlético Madrid,La Liga,24,1999,17.2,3,0,0,15,30,3,41,8,17,1,0,0,85,13,12,52
Pol Lirola,ESP,DF,Marseille,Ligue 1,26,1997,7.6,1,1,0,9,9,0,14,4,9,0,0,1,29,4,7,36.4
Dailon Livramento,CPV,"FW,MF",Hellas Verona,Serie A,23,2001,10.4,2,1,0,21,6,8,18,3,11,0,0,0,21,32,51,38.6
Valentino Livramento,ENG,DF,Newcastle Utd,Premier League,21,2002,31.6,1,0,0,6,35,2,52,23,36,0,0,0,189,27,35,43.5
Marin Ljubicic,CRO,"FW,MF",Union Berlin,Bundesliga,22,2002,3.1,1,0,0,9,8,1,1,0,1,0,0,0,12,3,11,21.4
Javier Llabrés,ESP,FW,Mallorca,La Liga,21,2002,0.6,0,0,0,0,1,1,4,0,0,0,0,0,3,1,0,100
Diego Llorente,ESP,DF,Betis,La Liga,30,1993,28,4,0,0,20,23,0,1,43,20,0,1,1,93,77,45,63.1
Marcos Llorente,ESP,"DF,MF",Atlético Madrid,La Liga,29,1995,27.9,0,1,0,23,25,4,62,27,52,1,0,0,131,15,15,50
Gautier Lloris,FRA,DF,Le Havre,Ligue 1,29,1995,30.8,5,0,0,31,7,2,3,34,43,0,2,0,100,64,34,65.3
Giovani Lo Celso,ARG,"MF,FW",Betis,La Liga,28,1996,16.2,4,0,0,13,63,0,95,5,22,0,0,0,76,5,11,31.3
Stanislav Lobotka,SVK,MF,Napoli,Serie A,29,1994,29.3,3,0,0,24,31,0,2,21,30,0,1,0,166,6,6,50
Manuel Locatelli,ITA,MF,Juventus,Serie A,26,1998,31.4,9,0,0,46,22,1,24,23,49,0,1,0,141,35,22,61.4
Bradley Locko,FRA,DF,Brest,Ligue 1,22,2002,1.1,1,0,0,1,0,0,1,1,2,0,1,0,2,1,0,100
Ruben Loftus-Cheek,ENG,MF,Milan,Serie A,28,1996,11.5,3,0,0,23,27,0,7,3,8,0,0,0,48,18,11,62.1
Elysée Logbo,FRA,FW,Le Havre,Ligue 1,20,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Enzo Loiodice,FRA,MF,Las Palmas,La Liga,23,2000,7.6,3,0,0,10,6,1,10,10,7,0,0,0,29,7,8,46.7
Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,26,1997,8.9,2,0,0,9,6,0,5,7,16,0,0,0,31,7,7,50
Ademola Lookman,NGA,"MF,FW",Atalanta,Serie A,26,1997,25,4,0,0,31,20,26,124,3,15,0,0,0,69,17,13,56.7
Anthony Lopes,POR,GK,Nantes,Ligue 1,33,1990,17.4,2,0,0,1,7,0,0,1,0,0,1,0,11,2,1,66.7
David López,ESP,DF,Mallorca,La Liga,21,2003,1.9,0,0,0,0,0,0,0,1,2,0,0,0,2,2,5,28.6
David López,ESP,DF,Girona,La Liga,34,1989,27,4,0,0,12,15,1,3,14,24,0,1,0,95,30,29,50.8
Diego López,ESP,"MF,FW",Valencia,La Liga,22,2002,30.4,3,0,0,21,33,13,67,16,18,1,1,0,105,14,55,20.3
Fer López,,"FW,MF",Celta Vigo,La Liga,,,7.5,2,0,0,13,8,2,2,2,5,0,0,0,25,2,9,18.2
Fermin López,ESP,"MF,FW",Barcelona,La Liga,21,2003,13.9,4,1,0,27,21,5,47,5,15,0,0,0,66,9,18,33.3
Javi López,ESP,DF,Real Sociedad,La Liga,22,2002,21.5,4,0,0,30,27,1,60,11,23,0,0,0,92,10,19,34.5
Pau López,ESP,GK,Girona,La Liga,29,1994,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Roberto López,ESP,MF,Leganés,La Liga,24,2000,4.4,0,0,0,1,3,0,24,1,6,0,0,0,28,1,5,16.7
Unai López,ESP,MF,Rayo Vallecano,La Liga,28,1995,19,9,1,0,18,21,1,33,21,21,0,0,0,117,10,18,35.7
Iker Losada,ESP,"FW,MF",Celta Vigo,La Liga,22,2001,4,2,0,0,3,0,0,5,1,3,0,0,0,8,2,7,22.2
Iker Losada,ESP,"MF,FW",Betis,La Liga,22,2001,3.7,0,0,0,1,2,0,4,3,7,0,0,0,19,3,4,42.9
Anthony Losilla,FRA,MF,Bochum,Bundesliga,38,1986,12.6,1,0,0,18,9,1,4,18,16,0,0,0,45,29,23,55.8
Jordan Lotomba,SUI,"MF,DF",Nice,Ligue 1,25,1998,0.4,0,0,0,2,0,1,2,0,0,0,0,0,2,0,0,
