player,nation,position,squad,competition,age,born,90s,goals,shots_total,shots_ontarget,shots_ontarget%,shots_total_per90,shots_ontarget_per90,goals_pershot,goals_pershot_ontarget,avg_shotdistance,shots_fromfk,pk_made,pk_attempted,xg,npxg,npxg_pershot,goals-xg,npg-npxg
Antoniu,ESP,"FW,MF",Espanyol,La Liga,21,2002,11.4,0,10,4,40,0.88,0.35,0,0,19.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9
Antony,BRA,"DF,MF",Manchester Utd,Premier League,24,2000,1.6,0,6,3,50,3.83,1.91,0,0,15.8,0,0,0,1,1,0.17,-1,-1
Antony,BRA,FW,Betis,La Liga,24,2000,15.1,5,43,17,39.5,2.84,1.12,0.12,0.29,19.9,1,0,0,2.9,2.9,0.07,2.1,2.1
Anuar,MAR,"MF,FW",Valladolid,La Liga,29,1995,19.1,2,11,5,45.5,0.58,0.26,0.18,0.4,12.8,0,0,0,1.7,1.7,0.15,0.3,0.3
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32,1992,23.6,0,5,2,40,0.21,0.08,0,0,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Aritz Arambarri,ESP,DF,Leganés,La Liga,26,1998,2,0,1,0,0,0.51,0,0,,15.7,0,0,0,0,0,0.02,0,0
Mauro Arambarri,URU,MF,Getafe,La Liga,28,1995,29.6,10,53,16,30.2,1.79,0.54,0.13,0.44,18.2,1,3,3,8.2,5.8,0.11,1.8,1.2
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22,2002,27.3,1,11,3,27.3,0.4,0.11,0.09,0.33,20.8,0,0,0,0.4,0.4,0.04,0.6,0.6
Julian Araujo,MEX,DF,Bournemouth,Premier League,22,2001,5.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ronald Araújo,URU,DF,Barcelona,La Liga,25,1999,8.4,1,4,2,50,0.48,0.24,0.25,0.5,11.8,0,0,0,1,1,0.24,0,0
Cameron Archer,ENG,FW,Southampton,Premier League,23,2001,16,2,28,10,35.7,1.75,0.62,0.07,0.2,12.8,0,0,1,5.7,4.9,0.18,-3.7,-2.9
Carlens Arcus,HAI,DF,Angers,Ligue 1,28,1996,22.7,0,3,0,0,0.13,0,0,,29.1,0,0,0,0,0,0.01,0,0
Alphonse Areola,FRA,GK,West Ham,Premier League,31,1993,25.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Adu Ares,ESP,FW,Athletic Club,La Liga,22,2001,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jesús Areso,ESP,DF,Osasuna,La Liga,25,1999,34.2,0,8,0,0,0.23,0,0,,21.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
David Argüelles,ESP,MF,Getafe,La Liga,22,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Joe Aribo,NGA,"MF,DF",Southampton,Premier League,28,1996,22.4,3,17,7,41.2,0.76,0.31,0.18,0.43,14,0,0,0,2.7,2.7,0.16,0.3,0.3
Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,27,1997,13.9,2,25,7,28,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3
Harrison Armstrong,ENG,MF,Everton,Premier League,17,2007,0.5,0,1,0,0,1.87,0,0,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4
José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,29,1995,1.5,0,6,3,50,4.06,2.03,0,0,23.1,2,0,0,0.3,0.3,0.05,-0.3,-0.3
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,Ligue 1,21,2003,19.5,5,35,13,37.1,1.79,0.67,0.14,0.38,17.1,2,0,0,3.8,3.8,0.11,1.2,1.2
Marko Arnautović,AUT,FW,Inter,Serie A,35,1989,5.9,4,13,6,46.2,2.22,1.02,0.31,0.67,8.7,0,0,0,3.3,3.3,0.23,0.7,0.7
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,30,1994,26.2,3,27,12,44.4,1.03,0.46,0.11,0.25,28.9,9,0,0,0.9,0.9,0.03,2.1,2.1
