player,nation,position,squad,competition,age,born,90s,passes_attempted,liveball_passes,deadball_passes,fk_passes,throughball_passes,switches,crosses,throwins,cornerkicks,inswingingcorners,outswingingcorners,straightcorners,totalpasscomp,passes_offside,passes_blocked
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28,1996,21.7,1841,1763,78,33,2,6,24,37,0,0,0,0,1664,0,18
Leandro Antonetti,PUR,FW,Sevilla,La Liga,21,2003,0.3,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
Kyllian Antonio,FRA,"DF,MF",Lens,Ligue 1,16,2008,1.5,97,88,9,2,0,0,2,7,0,0,0,0,81,0,4
Michail Antonio,JAM,FW,West Ham,Premier League,34,1990,9.3,188,175,11,0,3,6,25,7,0,0,0,0,114,2,14
Antoniu,ESP,"FW,MF",Espanyol,La Liga,21,2002,11.4,221,214,4,1,4,0,20,3,0,0,0,0,148,3,15
Antony,BRA,"DF,MF",Manchester Utd,Premier League,24,2000,1.6,69,62,7,2,0,0,5,5,0,0,0,0,56,0,1
Antony,BRA,FW,Betis,La Liga,24,2000,15.1,768,722,45,11,7,5,40,20,14,4,4,0,622,1,18
Anuar,MAR,"MF,FW",Valladolid,La Liga,29,1995,19.1,505,466,39,10,1,0,22,25,1,0,0,0,411,0,6
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32,1992,23.6,1179,957,218,16,3,2,52,202,0,0,0,0,903,4,43
Aritz Arambarri,ESP,DF,Leganés,La Liga,26,1998,2,67,65,2,2,0,1,0,0,0,0,0,0,49,0,1
Mauro Arambarri,URU,MF,Getafe,La Liga,28,1995,29.6,800,775,21,13,2,9,14,0,1,1,0,0,586,4,14
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22,2002,27.3,1518,1211,305,37,0,3,45,268,0,0,0,0,1190,2,37
Julian Araujo,MEX,DF,Bournemouth,Premier League,22,2001,5.5,225,198,27,2,0,0,9,25,0,0,0,0,178,0,2
Ronald Araújo,URU,DF,Barcelona,La Liga,25,1999,8.4,725,697,27,20,0,1,0,6,0,0,0,0,666,1,0
Cameron Archer,ENG,FW,Southampton,Premier League,23,2001,16,251,231,19,0,2,0,3,0,0,0,0,0,205,1,8
Carlens Arcus,HAI,DF,Angers,Ligue 1,28,1996,22.7,1020,843,173,20,2,3,55,152,1,0,0,0,810,4,20
Alphonse Areola,FRA,GK,West Ham,Premier League,31,1993,25.1,989,716,268,72,0,3,0,0,0,0,0,0,688,5,3
Adu Ares,ESP,FW,Athletic Club,La Liga,22,2001,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1
Jesús Areso,ESP,DF,Osasuna,La Liga,25,1999,34.2,1573,1203,366,3,0,4,169,362,1,0,0,0,1139,4,63
David Argüelles,ESP,MF,Getafe,La Liga,22,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Joe Aribo,NGA,"MF,DF",Southampton,Premier League,28,1996,22.4,1046,1032,13,4,2,1,10,4,0,0,0,0,929,1,15
Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,27,1997,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12
Harrison Armstrong,ENG,MF,Everton,Premier League,17,2007,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0
José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,29,1995,1.5,77,66,11,3,0,1,18,1,7,5,1,0,52,0,6
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,Ligue 1,21,2003,19.5,946,880,64,14,5,4,59,10,35,11,16,1,751,2,22
Marko Arnautović,AUT,FW,Inter,Serie A,35,1989,5.9,158,148,8,0,2,0,5,0,0,0,0,0,113,2,3
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,30,1994,26.2,1358,1135,218,109,3,17,152,4,84,51,32,1,1049,5,18
Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,Bundesliga,24,2000,7.9,174,146,23,3,1,5,24,9,7,5,2,0,102,5,8
Sergio Arribas,ESP,DF,Betis,La Liga,21,2003,1,54,40,13,1,0,0,0,12,0,0,0,0,37,1,2
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,29,1994,31,1027,728,295,103,0,0,0,0,0,0,0,0,752,4,2
Arthur,BRA,DF,Leverkusen,Bundesliga,21,2003,8.4,388,342,45,1,0,0,16,44,0,0,0,0,306,1,13
Takuma Asano,JPN,"FW,MF",Mallorca,La Liga,29,1994,11.7,219,217,2,1,0,3,20,0,0,0,0,0,148,0,13
Raúl Asencio,ESP,DF,Real Madrid,La Liga,21,2003,18.6,988,926,61,33,1,8,0,8,0,0,0,0,927,1,2
Marco Asensio,ESP,MF,Aston Villa,Premier League,28,1996,8.3,313,271,39,14,2,1,38,0,23,11,1,0,242,3,8
Marco Asensio,ESP,"FW,MF",Paris S-G,Ligue 1,28,1996,6.9,335,314,19,2,4,1,13,3,6,2,0,0,291,2,7
Kristjan Asllani,ALB,MF,Inter,Serie A,22,2002,10.9,973,913,57,26,6,8,43,1,29,7,15,0,868,3,3
Iago Aspas,ESP,"FW,MF",Celta Vigo,La Liga,36,1987,19.4,877,849,20,3,20,8,15,9,4,0,1,0,661,8,27
